	x	y	time
0	77.64571188817136	155.73733602253756	0
1	383.65742772124116	96.70312512235488	0
2	28.798087451572208	257.9767214840194	0
3	491.23209001787643	110.5856044223094	0
4	198.84980064394418	187.7449441259959	0
5	316.6223533835434	52.44660250723948	0
6	476.4466325516529	342.7165604777181	0
7	15.47552279148604	322.293331215424	0
8	442.05124837224344	160.35316183002982	0
9	134.73008229873307	21.269521082444008	0
0	90.57008124182114	152.4157445368801	1
1	386.16138450488376	82.3226212913353	1
2	26.164736072019885	250.43361372731664	1
3	489.9458025641452	113.26425432518035	1
4	193.89088475868297	187.83503326756752	1
5	315.2098756889139	47.570006649897884	1
6	478.1955454798781	342.04964487958614	1
7	21.95427038714429	314.26698075007675	1
8	435.79038629122545	157.22779923922425	1
9	129.5889234714117	19.180281729491803	1
0	91.31021106384958	158.10871765613513	2
1	393.2314956180795	83.92995108299034	2
2	25.085910844612222	264.77188716031077	2
3	490.81320804330096	131.5796146832517	2
4	198.1569212715608	191.3476919735767	2
5	324.80129928156924	40.61641921363806	2
6	466.91904791782923	353.84255109979705	2
7	13.52810525514527	323.1073446022621	2
8	436.5873677524778	166.80242258607467	2
9	131.76030079838256	19.659801467470846	2
0	86.51058006784409	161.32503535236003	3
1	383.5240839028904	83.74980059171054	3
2	32.04311908645918	262.6309217505982	3
3	483.07869102212015	132.62812622258215	3
4	190.93795635319975	191.39885860065849	3
5	329.3479002385322	41.84055906652218	3
6	463.1808715593366	353.39256143927025	3
7	20.163301258857267	314.09306957196503	3
8	429.8883164059938	165.51013591714323	3
9	140.94032474538972	8.688962773429518	3
0	75.6623439341349	161.40416541327826	4
1	381.40225012603054	80.44280414058018	4
2	31.18406000667602	266.818129921857	4
3	474.9516303776173	127.08544847622167	4
4	191.46011846804655	183.425874889595	4
5	322.06548347772963	41.79973968347544	4
6	473.4833332919495	345.10838996775664	4
7	9.959793438402556	311.74960101314946	4
8	427.9418977146894	160.43854446056798	4
9	123.81021405136696	14.69113215836115	4
0	79.23306601646394	151.87857841722368	5
1	388.00869938250685	84.97058918468193	5
2	30.14557912606765	264.44940742033174	5
3	477.62562990145864	132.8194216450472	5
4	189.6859274143641	177.95261086092228	5
5	316.3549351667279	49.162404936356516	5
6	456.5514125078655	347.68085909157884	5
