	x	y	time	cell
0	164.50000000000003	567.5000000000001	1	0
1	165.38382360753172	568.8257354112976	2	0
2	164.06006956943565	568.6722248266249	3	0
3	163.7965819625817	568.1236402156223	4	0
4	163.66044016248836	570.1787597722803	5	0
5	163.11249896335264	570.3274223611674	6	0
6	160.533483697889	574.9100279418788	7	0
7	158.96214235632016	575.6139990390403	8	0
8	157.93057199725874	575.3366871364465	9	0
9	157.79581962218822	573.8580744281626	10	0
10	153.67110716876968	571.3719053676308	11	0
11	150.46503167176473	574.2239132747627	12	0
12	147.87961152828234	575.3644235915374	13	0
13	143.95940322968687	578.1067066911914	14	0
14	143.32490068132478	579.3043456493815	15	0
15	144.87696245840658	578.8333441175446	16	0
16	140.198976911834	583.1104354916998	17	0
17	139.53977114368865	584.1084438201435	18	0
18	138.1341082571242	584.738478336189	19	0
19	133.86117914493647	585.7060584134229	20	0
20	132.7314028619211	583.900245787966	21	0
21	133.1989338588264	584.2796138106875	22	0
22	132.2584129409442	588.3216955034478	23	0
23	131.32997345818475	591.0147591221756	24	0
24	132.86520046358388	589.1754023030917	25	0
25	135.53322377535042	589.8257427640851	26	0
26	133.58999064580402	587.7451811266776	27	0
27	134.98241713711928	588.1247216349428	28	0
28	133.33712870734453	588.7642986440522	29	0
29	134.5816282539503	592.5723174424006	30	0
30	136.1499254527013	591.4597902480901	31	0
31	136.5206345517235	591.1799305772889	32	0
32	136.48862204267445	594.6714983685431	33	0
33	137.04610507613992	596.0887177052975	34	0
34	141.13483592394857	598.9944761389006	35	0
35	138.40774203274452	600.7802778618468	36	0
36	139.03957444168066	600.5106852395201	37	0
37	139.2580349546111	600.9765069571478	38	0
38	140.30851257646384	598.4008558702254	39	0
39	139.92166280750695	597.970787405933	40	0
40	136.31002706532774	599.3813967730481	41	0
41	137.16238651014817	593.2537360230194	42	0
42	137.71766899954457	594.9894056782798	43	0
43	140.2012886136067	594.4457824880692	44	0
44	142.049369391206	593.82311759889	45	0
45	142.8401209928503	591.9707460221026	46	0
46	141.58257041917204	591.7145788826091	47	0
47	141.48705627549998	591.2449270592591	48	0
48	137.07813324773593	589.1706795068899	49	0
49	134.55494407857887	588.8661770552535	50	0
50	135.0837342138747	589.223283487096	51	0
51	139.12598692991273	589.0412038183334	52	0
52	143.09380595775033	591.4483364051147	53	0
53	143.72642332691657	591.0219405824724	54	0
54	144.15187167440504	590.1837036527047	55	0
55	143.96644523617593	589.0194240502271	56	0
56	143.5448267531093	588.5204725626721	57	0
57	143.99563653977137	588.0383664270867	58	0
58	140.91675511901857	586.050836075139	59	0
59	137.4788975200588	597.027069678783	60	0
60	139.61772922681394	593.5548111664383	61	0
61	137.7552340041053	594.4345965007553	62	0
62	139.94849899691147	596.3169358599217	63	0
63	141.99474097797085	595.5223427446109	64	0
64	139.9476360969684	591.482152600821	65	0
65	135.92768720931565	590.9413168916075	66	0
66	133.92484895885127	592.0979213443012	67	0
67	142.59918221300703	598.476052555601	68	0
68	148.44368291427264	601.1768026306682	69	0
69	146.2131131600861	601.3218656324796	70	0
70	149.70607969042533	603.1045151060652	71	0
71	152.34688793247355	604.6546577078204	72	0
