	x	y	time	cell
0	134.73008229873312	21.26952108244401	1	0
1	131.51190510699564	19.96173374118923	2	0
2	131.7280066536819	19.81953154356341	3	0
3	137.57485013194193	12.750770321619909	4	0
4	129.04334295599384	13.926494784896821	5	0
5	125.93718739633138	8.11196756176338	6	0
6	124.95245733299664	7.466651864927497	7	0
7	127.6959402864777	12.89348417700056	8	0
8	124.22021349482993	13.80209929568843	9	0
9	123.28141912722774	20.695214443990594	10	0
10	125.60636536348919	20.125480309476	11	0
11	126.51965620788336	19.318677631562828	12	0
12	117.02221046708698	24.75792773787774	13	0
13	117.15121682887812	28.99638865605565	14	0
14	113.98307560287873	29.3402259855017	15	0
15	115.88694561098718	34.248296330294735	16	0
16	117.9413025097182	35.47917833818766	17	0
17	120.28616245980294	32.424491362043554	18	0
18	114.5675808258364	27.98679069882156	19	0
19	111.02713105056831	24.326781271328787	20	0
20	109.15770696912662	24.397702833556743	21	0
21	107.22825183679143	19.809389517244693	22	0
22	109.14700836347473	18.592190561296107	23	0
23	115.58792383118345	12.344026623931368	24	0
24	109.00990868708207	17.981426487781942	25	0
25	115.8268845770659	16.75733160936387	26	0
26	116.02785101745002	23.80042228150457	27	0
27	114.19453192563886	26.974311699008002	28	0
28	121.83762281209893	21.821732187672303	29	0
29	123.86539039742974	24.40244791463898	30	0
30	121.18737443294576	22.88012045373474	31	0
31	117.14406593322892	24.571113040279766	32	0
32	116.74898538349667	32.37118885075032	33	0
33	119.4105817609053	31.01653261181449	34	0
34	124.69030216283198	25.899566088760945	35	0
35	119.5705831905079	26.758618379870164	36	0
36	119.97129122517538	30.826168582860674	37	0
37	117.97547130981728	22.513439049152524	38	0
38	121.06047194085475	15.932774086410618	39	0
39	114.74048997459896	22.831698221767216	40	0
40	116.67484399316179	23.714015189763202	41	0
41	118.11976145700582	19.311820843345938	42	0
42	122.91170962595544	13.901323016002891	43	0
43	121.20085261132117	16.05685594263414	44	0
44	125.05905526868582	19.547690080711718	45	0
45	128.5066766233958	26.904763841701534	46	0
46	126.67019453045684	22.72822984889622	47	0
47	121.72261638414722	22.652472200665652	48	0
48	126.69515344923896	21.675907789899455	49	0
49	130.94541159334682	14.288842819865307	50	0
0	77.64571188817136	155.73733602253756	1	1
1	85.66670933931762	153.67592195186307	2	1
2	89.10751844113969	156.44905828361794	3	1
3	87.44603967904527	159.49113651092563	4	1
4	80.07200595706026	160.62786638534652	5	1
5	79.49483701435406	155.1981836094466	6	1
6	76.28346353543024	155.08090442057042	7	1
7	73.81913133427707	157.80587010645056	8	1
8	74.47628095071906	153.04626409659213	9	1
9	75.11151973377426	156.1353373127924	10	1
10	72.4763581869391	154.45174006831988	11	1
11	72.22405259751972	160.24017553393492	12	1
12	73.4619914159879	154.43302564631648	13	1
13	77.71747779476229	158.82543517583602	14	1
14	70.526791446333	164.73488813224992	15	1
15	72.4330241896616	167.2856194606354	16	1
16	70.000143826504	160.48757774344688	17	1
17	77.14264762619237	161.93471489312057	18	1
18	85.80932741974914	166.15972064193997	19	1
19	81.97910153507097	169.44939104030126	20	1
20	86.94250522717492	170.0395988693855	21	1
21	79.509457263573	164.70369336214455	22	1
22	84.37498468477096	161.26383708146415	23	1
23	80.59679779077624	162.07615484464483	24	1
24	87.89762814139968	161.58168578919538	25	1
25	85.78297437206729	163.52585446967865	26	1
26	88.67510008792739	167.37128195168083	27	1
27	89.69222647523962	168.4494954926228	28	1
28	87.60605429647134	171.21971201555948	29	1
29	82.55500904268726	166.50005578637126	30	1
